inx,country,countryCoded,degree,degreeCoded,eng,engCoded,fieldGroup,fund,gpaBachelors,gpaMasters,gre,highLevelBachUni,highLevelMasterUni,papersGLOB,papersIRAN,targetUni,uniRank,year
55,australia,1,Masters,0,VeryHigh,0,0,FALSE,2.5,3.442985691,TRUE,FALSE,FALSE,0,1,monash,-1,2009
56,sweden,2,Masters,0,VeryHigh,0,0,FALSE,1.5,3.442985691,FALSE,FALSE,FALSE,0,0,kth ????,-1,2007
58,united states,0,Doctorate,1,VeryHigh,0,11,TRUE,3.6,3.442985691,TRUE,TRUE,FALSE,0,0,"california, berkeley",-1,2008
59,united states,0,Doctorate,1,VeryHigh,0,1,TRUE,2.5,4,TRUE,TRUE,TRUE,4,1,management,-1,2009
60,n/a,0,Masters,0,VeryHigh,0,1,FALSE,4,3.442985691,TRUE,TRUE,FALSE,1,0,texas at austin,-1,2009
61,united states,0,Masters,0,High,1,0,TRUE,2,3.442985691,TRUE,TRUE,FALSE,0,0,west virginia,-1,2008
63,n/a,0,Doctorate,1,VeryHigh,0,0,FALSE,2.5,3.5,FALSE,TRUE,TRUE,0,4,mcgill,-1,2008
64,united states,0,Doctorate,1,Medium,2,2,TRUE,2,3,TRUE,TRUE,TRUE,0,0,washington  in st. louis,-1,2008
65,canada,1,Doctorate,1,VeryHigh,0,0,TRUE,2.5,3.5,TRUE,TRUE,TRUE,4,1,sfu or nus,-1,2008
67,united states,0,Doctorate,1,High,1,0,TRUE,3.5,4,FALSE,TRUE,TRUE,3,0,california coast,-1,2001
68,united states,0,Doctorate,1,VeryHigh,0,4,TRUE,4,4,TRUE,FALSE,FALSE,2,1,stanford,-1,2008
69,united states,0,Doctorate,1,VeryHigh,0,0,FALSE,2.5,3.442985691,TRUE,TRUE,FALSE,0,0,"california, los angeles",-1,2008
70,united states,0,Doctorate,1,VeryHigh,0,7,FALSE,2.5,3.5,TRUE,TRUE,TRUE,0,2,texas at austin,-1,2008
71,canada,1,Masters,0,High,1,10,FALSE,3,3.442985691,FALSE,TRUE,FALSE,0,3,waterloo,-1,2008
72,united states,0,Doctorate,1,High,1,5,TRUE,1.5,3,TRUE,TRUE,TRUE,3,3,buffalo at sunny,-1,2008
74,n/a,0,Doctorate,1,High,1,5,FALSE,3.8,3.8,TRUE,TRUE,TRUE,0,0,arizona,-1,2008
